m,evmc,gwmc,gemc,owmc,oemc
2,0.838888888888888906,0.662222222222222268,0.678888888888888875,0.643333333333333313,0.643333333333333313
3,0.770000000000000018,0.673333333333333339,0.686666666666666647,0.663333333333333441,0.662222222222222268
4,0.709999999999999964,0.650000000000000022,0.654444444444444495,0.650000000000000022,0.648888888888888959
5,0.643333333333333313,0.599999999999999978,0.604444444444444451,0.593333333333333268,0.592222222222222205
6,0.577777777777777724,0.551111111111111107,0.561111111111111116,0.551111111111111107,0.553333333333333344
7,0.537777777777777799,0.513333333333333308,0.518888888888888844,0.515555555555555545,0.512222222222222245
8,0.471111111111111092,0.458888888888888902,0.472222222222222154,0.458888888888888846,0.457777777777777783
9,0.415555555555555511,0.426666666666666694,0.436666666666666592,0.411111111111111149,0.411111111111111149
10,0.353333333333333333,0.363333333333333341,0.37333333333333335,0.347777777777777797,0.34888888888888886
