n,apmc,usmc,gwmc,gemc,owmc,oemc
2,0,0.25,0,0,0,0
3,0,0.333333333333333315,0.0962962962962962826,0.107407407407407396,0.0962962962962962826,0.107407407407407396
4,0,0.375,0.0562500000000000014,0.0979166666666666519,0.0520833333333333287,0.0604166666666666671
5,0,0.399999999999999967,0.102666666666666684,0.149333333333333346,0.101333333333333345,0.150666666666666671
6,0,0.416666666666666685,0.106481481481481469,0.134259259259259245,0.0824074074074074153,0.0925925925925926013
7,0,0.428571428571428492,0.10136054421768706,0.159863945578231276,0.0829931972789115513,0.142176870748299294
8,0,0.4375,0.108854166666666655,0.165625000000000022,0.0942708333333333315,0.129687500000000011
9,0,0.44444444444444442,0.114403292181069968,0.168312757201646124,0.104115226337448533,0.132921810699588472
10,0,0.400000000000000022,0.127037037037037032,0.179259259259259257,0.111481481481481487,0.147037037037037049
