n,apwelfare,uswelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,1,0.776862447138128021,1,0.614460650241153816,1,0.614460650241153816
3,0.994726082918368504,0.802617164533526606,1,0.60410606109119025,1,0.633486516650113796
4,0.980140577180756312,0.736139516235233216,0.983111051432140726,0.641686383155806839,1,0.661947433681854491
5,0.981447099737852491,0.775680337025103528,0.990995425452393497,0.638184837589170995,1,0.648110920371353538
6,0.959035386514255905,0.740518671091003888,0.969244565089569909,0.661341681632900635,1,0.71728193943645413
7,0.951162258046314713,0.770851542507745791,0.972710423824432513,0.660586740708533626,1,0.684394256273574642
8,0.965767017692261254,0.771672571850507971,0.98008142974427459,0.643067252191377836,1,0.668437379074047988
9,0.950811064869151124,0.771244625164691944,0.966139618213995188,0.629235325303337367,1,0.664658929665935316
10,0.952164223309395652,0.849355060932264871,0.970403424002866388,0.641105264358708182,1,0.67921794531136459
