n,evmc,gwmc,gemc,owmc,oemc
2,0.0111111111111111133,0.0111111111111111115,0.0277777777777777797,0,0.0388888888888888964
3,0.0111111111111111081,0.0481481481481481344,0.0814814814814814742,0.0111111111111111081,0.0481481481481481413
4,0.0291666666666666671,0.0416666666666666713,0.0666666666666666657,0.0333333333333333398,0.0583333333333333343
5,0.0700000000000000067,0.0966666666666666785,0.14333333333333334,0.0800000000000000155,0.120000000000000009
6,0.0888888888888888923,0.136111111111111127,0.144444444444444431,0.100000000000000006,0.122222222222222218
7,0.119047619047619041,0.119047619047619041,0.1238095238095238,0.119047619047619041,0.1238095238095238
8,0.287499999999999978,0.287499999999999978,0.295833333333333337,0.287499999999999978,0.295833333333333337
9,0.229629629629629628,0.229629629629629628,0.229629629629629628,0.229629629629629628,0.229629629629629628
10,0.316666666666666652,0.316666666666666652,0.316666666666666652,0.316666666666666652,0.316666666666666652
