n,evwelfare,gwwelfare,gewelfare,owwelfare,oewelfare
2,1,0.98840508973312724,0.871155847485405421,1,0.886279393734214493
3,0.992894742957101784,0.955031655558604697,0.876788424064538163,0.992894742957101784,0.920365635779973545
4,0.979655039283301332,0.969127307912364566,0.903911288234853449,0.97644346887883593,0.91967899225809846
5,0.95699507447228771,0.933711436761421654,0.879168515838763986,0.949745116168844605,0.903296746836527387
6,0.942445949262003202,0.903839806951940328,0.887323821146404512,0.934948369158525638,0.908931789416258629
7,0.929242474675865626,0.929242474675865626,0.92472178583047282,0.929242474675865626,0.92472178583047282
8,0.831745345295673566,0.831745345295673566,0.822272150328512641,0.831745345295673566,0.822272150328512641
9,0.874255881270939006,0.874255881270939006,0.874255881270939006,0.874255881270939006,0.874255881270939006
10,0.835410434420193027,0.835410434420193027,0.835410434420193027,0.835410434420193027,0.835410434420193027
