m,spef,gwef,geef,owef,oeef
21,0.024285714285714282,0.0814285714285714196,0.0671428571428571291,0.0414285714285714257,0.0466666666666666688
22,0.0209090909090909084,0.0950000000000000011,0.0677272727272727332,0.0427272727272727249,0.0509090909090909108
23,0.0169565217391304326,0.0734782608695652151,0.0626086956521739041,0.0352173913043478254,0.0482608695652173916
24,0.0162500000000000006,0.0758333333333333359,0.0699999999999999928,0.0429166666666666655,0.0487499999999999947
25,0.0255999999999999978,0.092399999999999996,0.0672000000000000097,0.0488000000000000031,0.0551999999999999991
26,0.0188461538461538493,0.0780769230769230854,0.0669230769230769323,0.0488461538461538516,0.0546153846153846073
27,0.0300000000000000024,0.0933333333333333237,0.0677777777777777701,0.0533333333333333368,0.0548148148148148093
28,0.0224999999999999957,0.0842857142857142833,0.073214285714285704,0.0446428571428571369,0.0457142857142857142
29,0.0182758620689655177,0.0868965517241379326,0.0703448275862069011,0.0444827586206896566,0.0489655172413793124
30,0.0233333333333333309,0.0913333333333333358,0.0599999999999999978,0.0423333333333333339,0.0486666666666666636
31,0.0267741935483870944,0.0838709677419354899,0.0758064516129032251,0.0503225806451612842,0.0577419354838709653
32,0.0218749999999999951,0.08249999999999999,0.0762500000000000122,0.056874999999999995,0.0559375000000000011
33,0.0318181818181818218,0.0951515151515151536,0.0769696969696969657,0.0590909090909090898,0.0563636363636363588
34,0.0276470588235294135,0.0882352941176470645,0.0676470588235294074,0.0561764705882352999,0.0623529411764705901
35,0.0265714285714285688,0.086857142857142855,0.0728571428571428564,0.0571428571428571411,0.0537142857142857144
36,0.0211111111111111083,0.0847222222222222265,0.0713888888888888906,0.0491666666666666641,0.0491666666666666641
37,0.0278378378378378415,0.0832432432432432395,0.0751351351351351449,0.0551351351351351479,0.0500000000000000028
38,0.0352631578947368435,0.0923684210526315719,0.0692105263157894723,0.0549999999999999933,0.0681578947368420979
39,0.0238461538461538468,0.090512820512820516,0.0682051282051282098,0.0530769230769230771,0.0546153846153846143
40,0.0227499999999999994,0.0877499999999999947,0.0637500000000000011,0.0622499999999999998,0.0454999999999999988
41,0.0229268292682926825,0.0826829268292682967,0.0702439024390243971,0.0504878048780487837,0.0490243902439024409
42,0.0223809523809523798,0.0973809523809523736,0.0657142857142857112,0.0623809523809523842,0.0540476190476190457
43,0.0246511627906976748,0.0923255813953488408,0.0653488372093023323,0.0602325581395348822,0.0534883720930232551
44,0.0243181818181818186,0.0959090909090909022,0.0759090909090909122,0.0604545454545454553,0.0536363636363636348
45,0.0286666666666666736,0.0922222222222222193,0.0795555555555555599,0.0586666666666666656,0.0539999999999999994
