m,sprevenue,gwrevenue,gerevenue,owrevenue,oerevenue
21,0.723690010425951713,0.851203438024103254,0.740602309247206714,0.926711539191311551,0.808251979699619927
22,0.676762068507866799,0.829941960018686919,0.725095444147728641,0.918634497875837064,0.801156604616270696
23,0.705295104965172226,0.846000445316616445,0.710191771341796452,0.923813136071173102,0.786186904228562411
24,0.706613459223522811,0.868456015609724741,0.70146569766587763,0.888324980317453106,0.781398883839589886
25,0.695289694548170023,0.833751929225948207,0.695360150597073012,0.913406102898924988,0.768472684154704044
26,0.690487263221878478,0.843517115125136607,0.694801824673091262,0.91054453668640023,0.759981596881005528
27,0.690019025190864332,0.845227775624174171,0.710891372423936185,0.923865667625557774,0.792790717744301654
28,0.710389100797942485,0.832840736316393215,0.694641637743499185,0.928064560698840246,0.787313786507443103
29,0.702696124937453925,0.846233073462035801,0.668944038733029878,0.903179957383946852,0.750614650238537351
30,0.69251923117240255,0.819269907038440937,0.684847413265038507,0.930341202725694871,0.743883531187801594
31,0.68199259069793472,0.825108097209020341,0.6969333334239598,0.908001117035855065,0.775629843092676352
32,0.67652757879726666,0.823378012824010574,0.671945313530735944,0.920470285302763647,0.755768561312322618
33,0.679846958235999055,0.830102185912141466,0.667362007116154454,0.922033256753011066,0.760952343706150058
34,0.679388573799060813,0.809208163224921395,0.683931945408998043,0.902588329611770268,0.749748994241697608
35,0.685624433711586434,0.825741508615539743,0.661370348364169858,0.903454986194651255,0.749752538978700422
36,0.663125568053753889,0.816554805381664583,0.668726696611488203,0.936779190545305007,0.751736615616546144
37,0.677911000853937962,0.835140476462361225,0.671866728826502224,0.915642630202343599,0.764445046143438667
38,0.650580864421053118,0.796677627294580137,0.664473508993199569,0.942558474335633667,0.71498491123512109
39,0.688505970142455181,0.810496893493058757,0.687839271376204375,0.907734785408187306,0.757281921543475289
40,0.673371050244041425,0.817089427595510065,0.673847271856133578,0.892776488833677995,0.745277758746252239
41,0.691200633095477635,0.821286749581413122,0.667692799733598408,0.91387744406225413,0.743744465957676404
42,0.691126804373399017,0.819140022113514554,0.694635962561899967,0.903272178171944495,0.765720300410561827
43,0.65615081473124437,0.823021237997730526,0.675009905318848635,0.895019978374633651,0.735245486985412589
44,0.681906199665841761,0.814707776193473343,0.669877749352825513,0.903638009153679977,0.757202631369145118
45,0.692771605562051418,0.810320426260454307,0.646751382538554243,0.897947793197451771,0.743918183225673935
